,Year,State,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,Population,gunspercapita
47,2019-07-01,Washington,13468.0,217.0,12636.0,5788.0,2716.0,39,14.0,1.0,150.0,7.0,256.0,693.0,20.0,638.0,170.0,17.0,0.0,0.0,327.0,211.0,66.0,2.0,3.0,0.0,37439,7614893,0.0049165497138305165
48,2019-07-01,West Virginia,1951.0,84.0,4289.0,3610.0,229.0,292,0.0,8.0,6.0,1.0,958.0,823.0,1.0,10.0,0.0,1.0,0.0,0.0,18.0,6.0,0.0,2.0,0.0,0.0,12289,1792147,0.006857138393223324
49,2019-07-01,Wisconsin,6733.0,541.0,9938.0,6714.0,746.0,48,0.0,0.0,0.0,5.0,126.0,184.0,3.0,94.0,32.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,25170,5822434,0.004322934360441012
50,2019-07-01,Wyoming,790.0,7.0,1528.0,1587.0,136.0,101,1.0,5.0,2.0,0.0,144.0,161.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,4469,578759,0.00772169417667803
51,2018-07-01,Alabama,20642.0,0.0,5110.0,4540.0,222.0,222,0.0,9.0,7.0,0.0,1011.0,734.0,4.0,0.0,0.0,0.0,0.0,0.0,37.0,31.0,1.0,1.0,0.0,1.0,32572,4887681,0.006664101032780167
52,2018-07-01,Alaska,307.0,0.0,2391.0,2195.0,180.0,182,0.0,0.0,2.0,0.0,199.0,128.0,1.0,57.0,35.0,0.0,0.0,0.0,16.0,20.0,1.0,0.0,0.0,0.0,5714,735139,0.007772679724514684
53,2018-07-01,Arizona,6265.0,484.0,10166.0,5848.0,1020.0,618,0.0,11.0,5.0,1.0,1181.0,527.0,1.0,170.0,15.0,0.0,0.0,0.0,22.0,21.0,4.0,0.0,0.0,0.0,26359,7158024,0.0036824408523916654
54,2018-07-01,Arkansas,7406.0,1350.0,4245.0,3625.0,237.0,289,59.0,11.0,14.0,0.0,1013.0,1117.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,3.0,0.0,1.0,0.0,19399,3009733,0.006445422235128498
55,2018-07-01,California,39153.0,0.0,30486.0,21136.0,3054.0,0,0.0,0.0,0.0,0.0,482.0,351.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94672,39461588,0.0023990925048429372
56,2018-07-01,Colorado,9818.0,0.0,15420.0,10239.0,1106.0,901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37788,5691287,0.006639622988613999
57,2018-07-01,Connecticut,6810.0,405.0,4379.0,1611.0,445.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13650,3571520,0.0038219021593047216
58,2018-07-01,Delaware,266.0,0.0,1314.0,950.0,103.0,63,0.0,0.0,1.0,0.0,10.0,9.0,1.0,47.0,0.0,0.0,0.0,0.0,52.0,19.0,4.0,1.0,0.0,0.0,2840,965479,0.0029415450776246817
59,2018-07-01,District of Columbia,156.0,0.0,88.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246,701547,0.0003506536269130935
60,2018-07-01,Florida,15888.0,0.0,42524.0,13468.0,3215.0,1851,1.0,115.0,45.0,1.0,3434.0,1218.0,5.0,725.0,58.0,5.0,0.0,0.0,151.0,87.0,22.0,51.0,44.0,1.0,82909,21244317,0.003902643704666994
61,2018-07-01,Georgia,15689.0,0.0,9759.0,5232.0,469.0,429,0.0,14.0,8.0,1.0,1633.0,946.0,11.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,5.0,0.0,0.0,0.0,34244,10511131,0.0032578796706082343
62,2018-07-01,Hawaii,1050.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1057,1420593,0.0007440554754246994
63,2018-07-01,Idaho,6898.0,4.0,3202.0,3160.0,247.0,165,0.0,3.0,3.0,0.0,340.0,374.0,2.0,46.0,10.0,0.0,0.0,0.0,8.0,14.0,0.0,1.0,1.0,0.0,14478,1750536,0.008270609687547129
64,2018-07-01,Illinois,13684.0,160026.0,16840.0,7743.0,0.0,678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198971,12723071,0.015638598574196434
65,2018-07-01,Indiana,36004.0,0.0,13914.0,7825.0,1101.0,567,6.0,5.0,8.0,3.0,466.0,393.0,14.0,40.0,0.0,3.0,0.0,0.0,63.0,36.0,8.0,0.0,1.0,0.0,60457,6695497,0.009029501469420418
66,2018-07-01,Iowa,4429.0,4238.0,76.0,1469.0,31.0,4,0.0,0.0,0.0,0.0,1.0,46.0,0.0,20.0,7.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,10329,3148618,0.003280486867571741
67,2018-07-01,Kansas,1781.0,5.0,4579.0,3410.0,444.0,254,0.0,5.0,3.0,1.0,510.0,286.0,4.0,22.0,5.0,0.0,0.0,0.0,17.0,23.0,14.0,0.0,1.0,0.0,11364,2911359,0.0039033317430107383
68,2018-07-01,Kentucky,379409.0,0.0,6306.0,4537.0,295.0,341,2.0,17.0,14.0,1.0,1469.0,1123.0,1.0,19.0,4.0,0.0,0.0,0.0,18.0,24.0,1.0,2.0,0.0,0.0,393583,4461153,0.08822450160306092
69,2018-07-01,Louisiana,2657.0,1.0,8596.0,6115.0,665.0,513,0.0,8.0,5.0,0.0,929.0,705.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,1.0,0.0,20229,4659690,0.004341275921788789
70,2018-07-01,Maine,533.0,0.0,2542.0,2294.0,222.0,143,1.0,0.0,0.0,0.0,98.0,92.0,2.0,12.0,7.0,0.0,0.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,5968,1339057,0.004456867780833825
71,2018-07-01,Maryland,2424.0,0.0,3730.0,3398.0,115.0,36,0.0,0.0,1.0,0.0,54.0,93.0,0.0,63.0,19.0,0.0,0.0,0.0,0.0,14.0,71.0,1.0,1.0,0.0,10020,6035802,0.0016600942178023733
72,2018-07-01,Massachusetts,8310.0,0.0,3380.0,1997.0,383.0,126,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,26.0,5.0,0.0,2.0,0.0,14275,6882635,0.002074060298127098
73,2018-07-01,Michigan,17657.0,15.0,7846.0,6018.0,457.0,146,1.0,0.0,2.0,0.0,10.0,188.0,1.0,54.0,15.0,0.0,0.0,0.0,16.0,15.0,1.0,0.0,0.0,1.0,32443,9984072,0.0032494757649984894
74,2018-07-01,Minnesota,26954.0,0.0,3275.0,5135.0,310.0,160,0.0,1.0,2.0,0.0,106.0,267.0,1.0,20.0,13.0,1.0,0.0,0.0,9.0,23.0,2.0,0.0,0.0,0.0,36279,5606249,0.006471171722839995
75,2018-07-01,Mississippi,1850.0,0.0,5884.0,3568.0,291.0,281,0.0,26.0,18.0,1.0,1363.0,883.0,3.0,9.0,1.0,0.0,0.0,0.0,17.0,9.0,2.0,0.0,0.0,0.0,14206,2981020,0.0047654829554984535
76,2018-07-01,Missouri,733.0,0.0,14330.0,10470.0,1187.0,784,0.0,8.0,8.0,0.0,1359.0,894.0,7.0,199.0,27.0,13.0,0.0,0.0,73.0,42.0,16.0,2.0,5.0,0.0,30157,6121623,0.004926307941537726
77,2018-07-01,Montana,995.0,1.0,2421.0,2865.0,192.0,205,13.0,4.0,3.0,0.0,420.0,627.0,0.0,22.0,4.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,7794,1060665,0.00734822022033347
78,2018-07-01,Nebraska,2973.0,3.0,91.0,1090.0,16.0,1,0.0,0.0,1.0,0.0,5.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4220,1925614,0.0021915087862884254
